LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
zh-cn,admin.locationlevel.one,Location Level,Location Level,Location Level,地点一层,地点一层,地点一层,地点一层,"'admin.locationlevel.one':'地点一层',",
zh-cn,admin.locationlevel.other,Location Levels,Location Levels,Location Levels,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locationlevel.region,Region,Region,Region,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locationlevel.search,Search Location Levels,Search Location Levels,Search Location Levels,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locationlevel.section.children,Children,Children,Children,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locationlevel.section.details,Details,Details,Details,细节,细节,细节,细节,"'admin.locationlevel.section.details':'细节',",
zh-cn,admin.locationlevel.store,Store,Store,Store,商店,商店,商店,商店,"'admin.locationlevel.store':'商店',",
zh-cn,admin.notification.one,Notification Profile,Notification Profile,Notification Profile,通知简介,通知简介,通知简介,通知简介,"'admin.notification.one':'通知简介',",
zh-cn,admin.notification.other,Notification Profiles,Notification Profiles,Notification Profiles,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.add_profile_picture,Add Photo,Add Photo,Add Photo,添加照片,添加照片,添加照片,添加照片,"'admin.person.label.add_profile_picture':'添加照片',",
zh-cn,admin.person.label.address,Address,Address,Address,地址,地址,地址,地址,"'admin.person.label.address':'地址',",
zh-cn,admin.person.label.auth_amount,Auth. Amount,Auth. Amount,Auth. Amount,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.change_password,Change,Change,Change,更改,更改,更改,更改,"'admin.person.label.change_password':'更改',",
zh-cn,admin.person.label.change_profile_picture,Change,Change,Change,更改,更改,更改,更改,"'admin.person.label.change_profile_picture':'更改',",
zh-cn,admin.person.label.contact,Contact,Contact,Contact,联系,联系,联系,联系,"'admin.person.label.contact':'联系',",
zh-cn,admin.person.label.credentials,Credentials,Credentials,Credentials,证书,证书,证书,证书,"'admin.person.label.credentials':'证书',",
zh-cn,admin.person.label.email,Email,Email,Email,电子邮件,电子邮件,电子邮件,电子邮件,"'admin.person.label.email':'电子邮件',",
zh-cn,admin.person.label.employee_id,Employee No.,Employee No.,Employee No.,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.first_name,First Name,First Name,First Name,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.fullname,Name,Name,Name,名称,名称,名称,名称,"'admin.person.label.fullname':'名称',",
zh-cn,admin.person.label.general,General,General,General,一般,一般,一般,一般,"'admin.person.label.general':'一般',",
zh-cn,admin.person.label.language,Language,Language,Language,语言,语言,语言,语言,"'admin.person.label.language':'语言',",
zh-cn,admin.person.label.last_name,Last Name,Last Name,Last Name,姓,姓,姓,姓,"'admin.person.label.last_name':'姓',",
zh-cn,admin.person.label.location,Location(s),Location(s),Location(s),地点（S）,地点（S）,地点（S）,地点（S）,"'admin.person.label.location':'地点（S）',",
zh-cn,admin.person.label.middle_initial,M,M,M,中号,中号,中号,中号,"'admin.person.label.middle_initial':'中号',",
zh-cn,admin.person.label.password,Password,Password,Password,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.phone_number_region,Phone Number Region,Phone Number Region,Phone Number Region,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.phone_number.one,Phone Number,Phone Number,Phone Number,电话号码,电话号码,电话号码,电话号码,"'admin.person.label.phone_number.one':'电话号码',",
zh-cn,admin.person.label.phone_number.other,Phone Numbers,Phone Numbers,Phone Numbers,电话号码,电话号码,电话号码,电话号码,"'admin.person.label.phone_number.other':'电话号码',",
zh-cn,admin.person.label.photo,Photo,Photo,Photo,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.role-name,Role,Role,Role,角色,角色,角色,角色,"'admin.person.label.role-name':'角色',",
zh-cn,admin.person.label.settings,Settings,Settings,Settings,设置,设置,设置,设置,"'admin.person.label.settings':'设置',",
zh-cn,admin.person.label.status,Status,Status,Status,状态,状态,状态,状态,"'admin.person.label.status':'状态',",
zh-cn,admin.person.label.title,Title,Title,Title,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.label.username,Username,Username,Username,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.new,New Person,New Person,New Person,新人员,新人员,新人员,新人员,"'admin.person.new':'新人员',",
zh-cn,admin.person.one,Person,Person,Person,人,人,人,人,"'admin.person.one':'人',",
zh-cn,admin.person.other,People,People,People,人,人,人,人,"'admin.person.other':'人',",
zh-cn,admin.person.search,Search People,Search People,Search People,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.person.section.contact,Contact,Contact,Contact,联系,联系,联系,联系,"'admin.person.section.contact':'联系',",
zh-cn,admin.person.section.credentials,Credentials,Credentials,Credentials,证书,证书,证书,证书,"'admin.person.section.credentials':'证书',",
zh-cn,admin.person.section.details,Details,Details,Details,细节,细节,细节,细节,"'admin.person.section.details':'细节',",
zh-cn,admin.person.status.active,Active,Active,Active,活性,活性,活性,活性,"'admin.person.status.active':'活性',",
zh-cn,admin.person.status.expired,Expired,Expired,Expired,过期,过期,过期,过期,"'admin.person.status.expired':'过期',",
zh-cn,admin.person.status.inactive,Inactive,Inactive,Inactive,待用,待用,待用,待用,"'admin.person.status.inactive':'待用',",
zh-cn,admin.person.unique_username,Username {{value}} is already taken,Username _value}} is already taken,Username _value_var_ is already taken,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.phone.add,Add Phone Number,Add Phone Number,Add Phone Number,添加电话号码,添加电话号码,添加电话号码,添加电话号码,"'admin.phone.add':'添加电话号码',",
zh-cn,admin.phone.number,Phone Number,Phone Number,Phone Number,电话号码,电话号码,电话号码,电话号码,"'admin.phone.number':'电话号码',",
zh-cn,admin.phone.numbers,Phone Numbers,Phone Numbers,Phone Numbers,电话号码,电话号码,电话号码,电话号码,"'admin.phone.numbers':'电话号码',",
zh-cn,admin.phonenumbertype.cell,Cell,Cell,Cell,细胞,细胞,细胞,细胞,"'admin.phonenumbertype.cell':'细胞',",
zh-cn,admin.phonenumbertype.fax,Fax,Fax,Fax,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.phonenumbertype.mobile,Mobile,Mobile,Mobile,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.phonenumbertype.office,Office,Office,Office,办公室,办公室,办公室,办公室,"'admin.phonenumbertype.office':'办公室',",
zh-cn,admin.phonenumbertype.telephone,Telephone,Telephone,Telephone,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.placeholder.auto_assign,All Tickets,All Tickets,All Tickets,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.placeholder.available_filter,Add Filter,Add Filter,Add Filter,添加过滤器,添加过滤器,添加过滤器,添加过滤器,"'admin.placeholder.available_filter':'添加过滤器',",
zh-cn,admin.placeholder.available_filter.location,Add Locations...,Add Locations...,Add Locations...,添加位置...,添加位置...,添加位置...,添加位置...,"'admin.placeholder.available_filter.location':'添加位置...',",
zh-cn,admin.placeholder.available_filter.priority,Add Priorities...,Add Priorities...,Add Priorities...,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.placeholder.category_filter,Category,Category,Category,类别,类别,类别,类别,"'admin.placeholder.category_filter':'类别',",
zh-cn,admin.placeholder.category_filter_select,Select Categories,Select Categories,Select Categories,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.placeholder.country_filter,Country,Country,Country,国家,国家,国家,国家,"'admin.placeholder.country_filter':'国家',",
zh-cn,admin.placeholder.country_filter_select,Select Countries,Select Countries,Select Countries,选择国家,选择国家,选择国家,选择国家,"'admin.placeholder.country_filter_select':'选择国家',",
zh-cn,admin.placeholder.location_filter_select,Select Locations,Select Locations,Select Locations,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.placeholder.priority_filter_select,Select Priorities,Select Priorities,Select Priorities,优先选择,优先选择,优先选择,优先选择,"'admin.placeholder.priority_filter_select':'优先选择',",
zh-cn,admin.placeholder.state_filter,State,State,State,州,州,州,州,"'admin.placeholder.state_filter':'州',",
zh-cn,admin.placeholder.state_filter_select,Select States,Select States,Select States,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.placeholder.ticket_priority,Priority,Priority,Priority,优先,优先,优先,优先,"'admin.placeholder.ticket_priority':'优先',",
zh-cn,admin.role.label.category,Categories,Categories,Categories,分类,分类,分类,分类,"'admin.role.label.category':'分类',",
zh-cn,admin.role.label.general,General,General,General,一般,一般,一般,一般,"'admin.role.label.general':'一般',",
zh-cn,admin.role.label.location_level,Location Level,Location Level,Location Level,地点一层,地点一层,地点一层,地点一层,"'admin.role.label.location_level':'地点一层',",
zh-cn,admin.role.label.name,Role Name,Role Name,Role Name,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.role.label.number_users,# of People,# of People,# of People,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.role.label.permissions,Permissions,Permissions,Permissions,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,role.label.permission.provider,Provider,Provider,Provider,提供商,提供商,提供商,提供商,"'role.label.permission.provider':'提供商',",
zh-cn,admin.role.label.role_type,Role Type,Role Type,Role Type,角色类型,角色类型,角色类型,角色类型,"'admin.role.label.role_type':'角色类型',",
zh-cn,admin.role.label.settings,Settings,Settings,Settings,设置,设置,设置,设置,"'admin.role.label.settings':'设置',",
zh-cn,admin.role.new,New Role,New Role,New Role,新角色,新角色,新角色,新角色,"'admin.role.new':'新角色',",
zh-cn,admin.role.one,Role,Role,Role,角色,角色,角色,角色,"'admin.role.one':'角色',",
zh-cn,admin.role.other,Roles,Roles,Roles,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.role.search,Search Role,Search Role,Search Role,搜索角色,搜索角色,搜索角色,搜索角色,"'admin.role.search':'搜索角色',",
zh-cn,admin.role.section.details,Role Details,Role Details,Role Details,角色细节,角色细节,角色细节,角色细节,"'admin.role.section.details':'角色细节',",
zh-cn,admin.role.section.settings,Role Settings,Role Settings,Role Settings,角色设置,角色设置,角色设置,角色设置,"'admin.role.section.settings':'角色设置',",
zh-cn,admin.role.type.internal,Internal,Internal,Internal,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.role.type.third_party,Third Party,Third Party,Third Party,第三方,第三方,第三方,第三方,"'admin.role.type.third_party':'第三方',",
zh-cn,admin.setting.company_code,Company Code,Company Code,Company Code,公司代码,公司代码,公司代码,公司代码,"'admin.setting.company_code':'公司代码',",
zh-cn,admin.setting.company_name,Company Name,Company Name,Company Name,公司名,公司名,公司名,公司名,"'admin.setting.company_name':'公司名',",
zh-cn,admin.setting.create_all,Create All,Create All,Create All,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.setting.dashboard_text,Dashboard Text,Dashboard Text,Dashboard Text,仪表板文本,仪表板文本,仪表板文本,仪表板文本,"'admin.setting.dashboard_text':'仪表板文本',",
zh-cn,admin.setting.dt_start_key,Start,Start,Start,开始,开始,开始,开始,"'admin.setting.dt_start_key':'开始',",
zh-cn,admin.setting.exchange_rates,Exchange Rates,Exchange Rates,Exchange Rates,汇率,汇率,汇率,汇率,"'admin.setting.exchange_rates':'汇率',",
zh-cn,admin.setting.login_grace,Login Grace,Login Grace,Login Grace,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.setting.modules,Modules,Modules,Modules,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.setting.modules.invoices,Invoices,Invoices,Invoices,发票,发票,发票,发票,"'admin.setting.modules.invoices':'发票',",
zh-cn,admin.setting.modules.tickets,Tickets,Tickets,Tickets,门票,门票,门票,门票,"'admin.setting.modules.tickets':'门票',",
zh-cn,admin.setting.modules.work_orders,Work Orders,Work Orders,Work Orders,工作订单,工作订单,工作订单,工作订单,"'admin.setting.modules.work_orders':'工作订单',",
zh-cn,admin.setting.name.general,General Settings,General Settings,General Settings,常规设置,常规设置,常规设置,常规设置,"'admin.setting.name.general':'常规设置',",
zh-cn,admin.setting.name.person,Person Settings,Person Settings,Person Settings,个人设置,个人设置,个人设置,个人设置,"'admin.setting.name.person':'个人设置',",
zh-cn,admin.setting.name.role,Role Settings,Role Settings,Role Settings,角色设置,角色设置,角色设置,角色设置,"'admin.setting.name.role':'角色设置',",
zh-cn,admin.setting.one,Setting,Setting,Setting,设置,设置,设置,设置,"'admin.setting.one':'设置',",
zh-cn,admin.setting.other,Settings,Settings,Settings,设置,设置,设置,设置,"'admin.setting.other':'设置',",
zh-cn,admin.setting.password_one_time,One Time Password,One Time Password,One Time Password,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.setting.test_contractor_email,Test Contractor Email,Test Contractor Email,Test Contractor Email,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.setting.test_contractor_phone,Test Contractor Phone,Test Contractor Phone,Test Contractor Phone,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.setting.test_mode,Test Mode,Test Mode,Test Mode,测试模式,测试模式,测试模式,测试模式,"'admin.setting.test_mode':'测试模式',",
zh-cn,admin.template.one,Template,Template,Template,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.template.other,Templates,Templates,Templates,模板,模板,模板,模板,"'admin.template.other':'模板',",
zh-cn,admin.tenant.billing,Billing,Billing,Billing,开票,开票,开票,开票,"'admin.tenant.billing':'开票',",
zh-cn,admin.tenant.billing,Billing,Billing,Billing,开票,开票,开票,开票,"'admin.tenant.billing':'开票',",
zh-cn,admin.tenant.billing_address,Billing Address,Billing Address,Billing Address,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.billing_email,Billing Email,Billing Email,Billing Email,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.billing_phonenumber,Billing Phone Number,Billing Phone Number,Billing Phone Number,帐单电话号码,帐单电话号码,帐单电话号码,帐单电话号码,"'admin.tenant.billing_phonenumber':'帐单电话号码',",
zh-cn,admin.tenant.countries,Countries,Countries,Countries,国家,国家,国家,国家,"'admin.tenant.countries':'国家',",
zh-cn,admin.tenant.currency,Currency,Currency,Currency,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.implementation,Implementation,Implementation,Implementation,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.implementation,Implementation,Implementation,Implementation,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.implementation_contact,Implementation Contact,Implementation Contact,Implementation Contact,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.implementation_email,Implementation Email,Implementation Email,Implementation Email,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.label.dtd_start,Decision Tree Origin,Decision Tree Origin,Decision Tree Origin,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.tenant.label.test_mode,Test Mode,Test Mode,Test Mode,测试模式,测试模式,测试模式,测试模式,"'admin.tenant.label.test_mode':'测试模式',",
zh-cn,admin.third_party.label.name,Name,Name,Name,名称,名称,名称,名称,"'admin.third_party.label.name':'名称',",
zh-cn,admin.third_party.label.number,Number,Number,Number,数,数,数,数,"'admin.third_party.label.number':'数',",
zh-cn,admin.third_party.status.active,Inactive,Inactive,Inactive,待用,待用,待用,待用,"'admin.third_party.status.active':'待用',",
zh-cn,admin.third_party.status.inactive,Active,Active,Active,活性,活性,活性,活性,"'admin.third_party.status.inactive':'活性',",
zh-cn,admin.ticket.requester.placeholder,Requester,Requester,Requester,请求者,请求者,请求者,请求者,"'admin.ticket.requester.placeholder':'请求者',",
zh-cn,admin.title,Admin,Admin,Admin,联系,联系,联系,联系,"'admin.title':'联系',",
zh-cn,admin.translation.label.helper,Helper,Helper,Helper,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.translation.label.key,Key,Key,Key,键,键,键,键,"'admin.translation.label.key':'键',",
zh-cn,admin.translation.label.translation,Translation,Translation,Translation,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.translation.one,Translation,Translation,Translation,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.translation.other,Translations,Translations,Translations,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.translation.search,Search Translations,Search Translations,Search Translations,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.work_order.close.checked,Checked,Checked,Checked,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.work_order.close.do_not_display,Do not display,Do not display,Do not display,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.work_order.close.unchecked,Unchecked,Unchecked,Unchecked,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,air.balance,Air Balance,Air Balance,Air Balance,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,air.duct.cleaning,Air Duct Cleaning,Air Duct Cleaning,Air Duct Cleaning,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,alarms,Alarms,Alarms,Alarms,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,animatronics,Animatronics,Animatronics,Animatronics,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,appliances,Appliances,Appliances,Appliances,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,aquariums,Aquariums,Aquariums,Aquariums,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,architectural,Architectural,Architectural,Architectural,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,artwork,Artwork,Artwork,Artwork,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,assembly.services,Assembly Services,Assembly Services,Assembly Services,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,asset.tagging,Asset Tagging,Asset Tagging,Asset Tagging,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,attachment.fail,File failed to upload,File failed to upload,File failed to upload,文件上传失败,文件上传失败,文件上传失败,文件上传失败,"'attachment.fail':'文件上传失败',",
zh-cn,attachment.too_large,File is too large,File is too large,File is too large,文件太大,文件太大,文件太大,文件太大,"'attachment.too_large':'文件太大',",
zh-cn,audio.and.video,Audio And Video,Audio And Video,Audio And Video,音频和视频,音频和视频,音频和视频,音频和视频,"'audio.and.video':'音频和视频',",
zh-cn,auto.glass,Auto Glass,Auto Glass,Auto Glass,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation,Automation,Automation,Automation,自动化,自动化,自动化,自动化,"'automation':'自动化',",
zh-cn,automation.actions.body,Body,Body,Body,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.cc,CC(s),CC(s),CC(s),Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.email,Email,Email,Email,电子邮件,电子邮件,电子邮件,电子邮件,"'automation.actions.email':'电子邮件',",
zh-cn,automation.actions.message,Message,Message,Message,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.recipients,Recipients,Recipients,Recipients,收件人,收件人,收件人,收件人,"'automation.actions.recipients':'收件人',",
zh-cn,automation.actions.request,Request Text,Request Text,Request Text,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.send_email,Send Email,Send Email,Send Email,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.send_sms,Send Text Message,Send Text Message,Send Text Message,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.sms,Text Message,Text Message,Text Message,短信,短信,短信,短信,"'automation.actions.sms':'短信',",
zh-cn,automation.actions.status,Status,Status,Status,状态,状态,状态,状态,"'automation.actions.status':'状态',",
zh-cn,automation.actions.status,Status,Status,Status,状态,状态,状态,状态,"'automation.actions.status':'状态',",
zh-cn,automation.actions.subject,Subject,Subject,Subject,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.ticket_assignee,Ticket: Assignee,Ticket: Assignee,Ticket: Assignee,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.ticket_cc,Ticket: CC,Ticket: CC,Ticket: CC,门票：CC,门票：CC,门票：CC,门票：CC,"'automation.actions.ticket_cc':'门票：CC',",
zh-cn,automation.actions.ticket_priority,Ticket: Priority,Ticket: Priority,Ticket: Priority,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.ticket_request,Ticket: Request,Ticket: Request,Ticket: Request,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.actions.ticket_status,Ticket: Status,Ticket: Status,Ticket: Status,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_assignee_change,Ticket Assignee Change,Ticket Assignee Change,Ticket Assignee Change,票务受让人变更,票务受让人变更,票务受让人变更,票务受让人变更,"'automation.event.ticket_assignee_change':'票务受让人变更',",
zh-cn,automation.event.ticket_attachment_add,Ticket Attachment,Ticket Attachment,Ticket Attachment,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_category_change,Ticket Category Change,Ticket Category Change,Ticket Category Change,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_cc_add,Ticket CC Change,Ticket CC Change,Ticket CC Change,票务CC变化,票务CC变化,票务CC变化,票务CC变化,"'automation.event.ticket_cc_add':'票务CC变化',",
zh-cn,automation.event.ticket_comment,Ticket Comment,Ticket Comment,Ticket Comment,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_location_change,Ticket Location Change,Ticket Location Change,Ticket Location Change,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_priority_change,Ticket Priority Change,Ticket Priority Change,Ticket Priority Change,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_status_cancelled,Ticket: Status Cancelled,Ticket: Status Cancelled,Ticket: Status Cancelled,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_status_complete,Ticket: Status Complete,Ticket: Status Complete,Ticket: Status Complete,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_status_deferred,Ticket: Status Deferred,Ticket: Status Deferred,Ticket: Status Deferred,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_status_denied,Ticket: Status Denied,Ticket: Status Denied,Ticket: Status Denied,门票：拒绝状态,门票：拒绝状态,门票：拒绝状态,门票：拒绝状态,"'automation.event.ticket_status_denied':'门票：拒绝状态',",
zh-cn,automation.event.ticket_status_draft,Ticket: Status Draft,Ticket: Status Draft,Ticket: Status Draft,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_status_in_progress,Ticket: Status In Progress,Ticket: Status In Progress,Ticket: Status In Progress,门票：状态进行中,门票：状态进行中,门票：状态进行中,门票：状态进行中,"'automation.event.ticket_status_in_progress':'门票：状态进行中',",
zh-cn,automation.event.ticket_status_new,Ticket: Status New,Ticket: Status New,Ticket: Status New,门票：新状态,门票：新状态,门票：新状态,门票：新状态,"'automation.event.ticket_status_new':'门票：新状态',",
zh-cn,automation.event.ticket_status_pending,Ticket: Status Pending,Ticket: Status Pending,Ticket: Status Pending,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_status_solved,Ticket: Status Solved,Ticket: Status Solved,Ticket: Status Solved,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,automation.event.ticket_status_unsatisfactory,Ticket: Status Unsatisfactory,Ticket: Status Unsatisfactory,Ticket: Status Unsatisfactory,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,awning.cleaning,Awning Cleaning,Awning Cleaning,Awning Cleaning,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,awnings.and.shades,Awnings And Shades,Awnings And Shades,Awnings And Shades,遮阳篷和色调,遮阳篷和色调,遮阳篷和色调,遮阳篷和色调,"'awnings.and.shades':'遮阳篷和色调',",
zh-cn,bar.equipment,Bar Equipment,Bar Equipment,Bar Equipment,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,bicycle.racks,Bicycle Racks,Bicycle Racks,Bicycle Racks,自行车停车架,自行车停车架,自行车停车架,自行车停车架,"'bicycle.racks':'自行车停车架',",
zh-cn,blinds.and.window.coverings,Blinds And Window Coverings,Blinds And Window Coverings,Blinds And Window Coverings,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,boilers,Boilers,Boilers,Boilers,锅炉,锅炉,锅炉,锅炉,"'boilers':'锅炉',",
zh-cn,book-binding,Book-Binding,Book-Binding,Book-Binding,书籍装帧,书籍装帧,书籍装帧,书籍装帧,"'book-binding':'书籍装帧',",
zh-cn,bullet.resistant.enclosures,Bullet Resistant Enclosures,Bullet Resistant Enclosures,Bullet Resistant Enclosures,防弹外壳,防弹外壳,防弹外壳,防弹外壳,"'bullet.resistant.enclosures':'防弹外壳',",
zh-cn,button.add,New {{model}},New _model}},New _model_var_,新_model_var_,新_model}},新{{model}},新{{model}},"'button.add':'新{{model}}',",
zh-cn,button.upload,Attach file,Attach file,Attach file,附加文件,附加文件,附加文件,附加文件,"'button.upload':'附加文件',",
zh-cn,cable.services,Cable Services,Cable Services,Cable Services,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,car.wash,Car Wash,Car Wash,Car Wash,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,carpet.cleaning,Carpet Cleaning,Carpet Cleaning,Carpet Cleaning,地毯清洗,地毯清洗,地毯清洗,地毯清洗,"'carpet.cleaning':'地毯清洗',",
zh-cn,caulking.and.waterproofing,Caulking And Waterproofing,Caulking And Waterproofing,Caulking And Waterproofing,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,ceiling.cleaning,Ceiling Cleaning,Ceiling Cleaning,Ceiling Cleaning,天花板清洗,天花板清洗,天花板清洗,天花板清洗,"'ceiling.cleaning':'天花板清洗',",
zh-cn,ceilings,Ceilings,Ceilings,Ceilings,天花板,天花板,天花板,天花板,"'ceilings':'天花板',",
zh-cn,chemical.process,Chemical Process,Chemical Process,Chemical Process,化工过程,化工过程,化工过程,化工过程,"'chemical.process':'化工过程',",
zh-cn,chemicals,Chemicals,Chemicals,Chemicals,化学制品,化学制品,化学制品,化学制品,"'chemicals':'化学制品',",
zh-cn,chillers,Chillers,Chillers,Chillers,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,chimney.service.and.repair,Chimney Service And Repair,Chimney Service And Repair,Chimney Service And Repair,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,coffee.equipment,Coffee Equipment,Coffee Equipment,Coffee Equipment,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,coil.cleaning,Coil Cleaning,Coil Cleaning,Coil Cleaning,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,communications,Communications,Communications,Communications,通讯,通讯,通讯,通讯,"'communications':'通讯',",
zh-cn,computer,Computer,Computer,Computer,电脑,电脑,电脑,电脑,"'computer':'电脑',",
zh-cn,concession.stand.equipment.repair,Concession Stand Equipment Repair,Concession Stand Equipment Repair,Concession Stand Equipment Repair,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,concrete.staining,Concrete Staining,Concrete Staining,Concrete Staining,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,construction,Construction,Construction,Construction,Loading...,Loading...,Loading...,Loading...,Loading...,
